0 12	-99999.
3  1	-99999.
2  1	17134.202
2  3	17166.202
1  7	17169.102
2  5	17172.202
0  7	17203.002
1  9	17203.102
3  3	17203.301
3  5	17204.301
0 11	17207.003
0  8	17144.003
0 10	17144.004
3  4	17121.318
2  7	17144.206
2  9	17144.207
3  7	17144.302
2 11	17222.204
2  8	17144.209
2 10	17144.210
2 12	17144.211
0 13	17284.001
0 15	17292.001
3 19	17302.303
0 17	17304.001
0 14	17144.008
3 21	17305.301
1 13	17311.102
2 19	17322.203
1 15	17359.102
0 16	17366.001
3 23	17370.308
0 19	17373.001
0 21	17376.001
1 17	17391.102
1 14	17399.101
1 16	17403.101
2 13	17409.204
0 23	17411.002
2 15	17411.201
0 22	17415.005
2 17	-99999.
2 14	17417.204
3 22	17427.304
2 16	17427.203
3 24	17434.302
1 19	17439.101
1 21	17445.118
3 13	17445.316
1 23	17438.104
3 17	17451.307
3 14	17453.301
1 20	17454.101
3 25	-99999.
3 28	-99999.
0 31	17478.002
1 31	17479.101
1 33	17485.103
0 33	17491.001
1 35	17494.105
2 25	17495.201
3 27	17495.304
3 26	-99999.
3 34	-99999.
1 32	17499.101
1 34	17500.101
1 36	17502.102
2 27	17519.205
1 25	17496.107
0 35	17543.001
2 29	17544.203
2 26	17556.205
2 28	17496.204
2 30	17558.205
2 31	17560.202
3 31	17558.305
1 27	17561.102
1 29	17561.106
0 25	17562.001
2 33	17562.202
0 27	17563.001
0 29	17564.004
3 33	17568.306
3 35	17570.302
3 32	17581.301
1 26	17496.110
1 28	17496.111
1 30	17593.103
0 20	-99999.
3 12	-99999.
3 20	-99999.
